Platform,Manufactur,Year,Publisher,NA,EU,JP,Other,Global,Critic_Score,Critic_Count,User_Score,User_Count,Developer
Wii,Nintendo,2006,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,Nintendo
Wii,Nintendo,2008,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,Nintendo
Wii,Nintendo,2009,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,Nintendo
DS,Nintendo,2006,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,Nintendo
Wii,Nintendo,2006,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,Nintendo
Wii,Nintendo,2009,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,Nintendo
DS,Nintendo,2005,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,Nintendo
Wii,Nintendo,2007,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,Nintendo
X360,Microsoft,2010,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,Good Science Studio
Wii,Nintendo,2009,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,Nintendo
PS3,Sony,2013,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,Rockstar North
PS2,Sony,2004,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,Rockstar North
DS,Nintendo,2005,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,Nintendo
X360,Microsoft,2013,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,Rockstar North
PS2,Sony,2002,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,Rockstar North
DS,Nintendo,2005,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,Nintendo
PS2,Sony,2001,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,Polyphony Digital
X360,Microsoft,2011,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games"
X360,Microsoft,2010,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch
PS3,Sony,2012,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Treyarch
X360,Microsoft,2012,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Treyarch
X360,Microsoft,2009,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,Infinity Ward
PS3,Sony,2011,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games"
PS2,Sony,2001,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,DMA Design
Wii,Nintendo,2008,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,Game Arts
3DS,Nintendo,2011,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division"
PS3,Sony,2010,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,Treyarch
PS4,Sony,2014,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,Rockstar North
DS,Nintendo,2005,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,Nintendo
X360,Microsoft,2007,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,"Bungie Software, Bungie"
PS2,Sony,2004,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,Polyphony Digital
Wii,Nintendo,2007,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,Nintendo
X360,Microsoft,2008,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,Rockstar North
PS,Sony,1997,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,Polyphony Digital
3DS,Nintendo,2011,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Nintendo
PS3,Sony,2010,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,Polyphony Digital
PS3,Sony,2009,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Infinity Ward
PS3,Sony,2008,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,Rockstar North
X360,Microsoft,2013,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Infinity Ward
Wii,Nintendo,2011,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft
3DS,Nintendo,2012,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,Nintendo
X360,Microsoft,2010,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Bungie
PS,Sony,1997,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,SquareSoft
X360,Microsoft,2012,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,343 Industries
PS,Sony,1999,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,Polyphony Digital
Wii,Nintendo,2010,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft
PS3,Sony,2013,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward
X360,Microsoft,2007,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,Infinity Ward
3DS,Nintendo,2012,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,Nintendo
DS,Nintendo,2007,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,Hudson Soft
X360,Microsoft,2011,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios
PS4,Sony,2015,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports
XB,Microsoft,2004,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,Bungie Software
Wii,Nintendo,2010,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Nd Cube
Wii,Nintendo,2007,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Hudson
PS3,Sony,2012,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts
PS2,Sony,2001,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,SquareSoft
PC,Microsoft,2009,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,The Sims Studio
PS,Sony,1999,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,SquareSoft
DS,Nintendo,2008,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Game Freak
PSP,Sony,2005,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,Rockstar Leeds
PS4,Sony,2014,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Sledgehammer Games
PS4,Sony,2016,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,"EA Sports, EA Vancouver"
Wii,Nintendo,2010,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo
X360,Microsoft,2008,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,Treyarch
X360,Microsoft,2011,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,EA DICE
PS2,Sony,2003,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,EA Black Box
Wii,Nintendo,2009,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,Ubisoft Paris
PS3,Sony,2011,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,EA DICE
PS4,Sony,2015,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Bethesda Game Studios
PS,Sony,1998,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,Namco
Wii,Nintendo,2006,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,Nintendo
PS,Sony,1998,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,Naughty Dog
WiiU,Nintendo,2014,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,Nintendo
GC,Nintendo,2001,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,HAL Labs
PS2,Sony,2004,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,EA Canada
PS2,Sony,2002,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,EA LA
Wii,Nintendo,2012,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Ubisoft
X360,Microsoft,2008,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,Epic Games
PS3,Sony,2011,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,Naughty Dog
PS3,Sony,2007,Activision,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,Infinity Ward
PS3,Sony,2009,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,Naughty Dog
DS,Nintendo,2005,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,Nintendo
PS3,Sony,2010,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,Rockstar San Diego
PS3,Sony,2013,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,EA Canada
PS3,Sony,2012,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,Ubisoft
Wii,Nintendo,2010,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,Retro Studios
XB,Microsoft,2001,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,Bungie Software
PS3,Sony,2011,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,Bethesda Game Studios
GBA,Nintendo,2004,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0,Game Freak
PS2,Sony,2002,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,SquareSoft
X360,Microsoft,2009,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,"Bungie Software, Bungie"
X360,Microsoft,2010,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,Rockstar San Diego
GC,Nintendo,2002,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,Nintendo
PC,Microsoft,2004,Activision,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,Blizzard Entertainment
PS,Sony,1999,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,Reflections Interactive
X360,Microsoft,2011,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,Epic Games
X360,Microsoft,2010,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,Rare Ltd.
X360,Microsoft,2006,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,Epic Games
PS4,Sony,2014,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,EA Sports
PS2,Sony,2001,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,KCEJ
PS,Sony,1998,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,KCEJ
PS3,Sony,2008,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,Kojima Productions
PS2,Sony,2006,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,Square Enix
PS3,Sony,2013,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,Naughty Dog
PS3,Sony,2008,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,"SCE/WWS, Media Molecule"
PS,Sony,1998,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,Capcom
DS,Nintendo,2009,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,Level 5
PS,Sony,1996,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,Namco
PS4,Sony,2014,Activision,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,"Bungie Software, Bungie"
Wii,Nintendo,2007,LucasArts,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,Traveller's Tales
DS,Nintendo,2006,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,Taito Corporation
PS3,Sony,2009,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,Ubisoft Montreal
X360,Microsoft,2007,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,Ubisoft Montreal
X360,Microsoft,2009,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,Turn 10
GBA,Nintendo,2001,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,Nintendo
PSP,Sony,2008,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,Capcom
PS3,Sony,2011,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,Rocksteady Studios
XOne,Microsoft,2014,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,Rockstar North
GBA,Nintendo,2001,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,Intelligent Systems
PS2,Sony,2001,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,Traveller's Tales
PS3,Sony,2008,Activision,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,Treyarch
PS4,Sony,2016,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,Naughty Dog
PS3,Sony,2009,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,Square Enix
PS,Sony,2000,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,SquareSoft
X360,Microsoft,2012,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,Ubisoft
PS2,Sony,2003,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,SquareSoft
XOne,Microsoft,2014,Activision,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,Sledgehammer Games
X360,Microsoft,2009,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,Ubisoft Montreal
WiiU,Nintendo,2012,Nintendo,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,Nintendo
PS2,Sony,2004,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0,Level 5
DS,Nintendo,2007,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,Level 5
X360,Microsoft,2012,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,Electronic Arts
PC,Microsoft,2012,Activision,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4.0,9629.0,Blizzard Entertainment
PS2,Sony,2003,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,EA LA
PS2,Sony,2006,RedOctane,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0,Harmonix Music Systems
X360,Microsoft,2010,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0,Lionhead Studios
PS3,Sony,2009,Capcom,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667.0,Capcom
DS,Nintendo,2007,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,416.0,Nintendo
PS3,Sony,2010,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8.0,233.0,EA Sports
PS,Sony,1996,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91.0,8.0,9.0,266.0,Capcom
PSP,Sony,2006,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86.0,50.0,8.0,150.0,Rockstar Leeds
PS,Sony,1999,Activision,3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69.0,Neversoft Entertainment
PS2,Sony,2007,Activision,3.49,0.01,0.01,1.48,4.98,82.0,24.0,8.2,46.0,"Neversoft Entertainment, BudCat"
Wii,Nintendo,2007,Nintendo,3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47.0,Nintendo
X360,Microsoft,2008,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93.0,84.0,8.5,1655.0,Bethesda Game Studios
PS3,Sony,2007,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88.0,66.0,8.1,2306.0,"Naughty Dog, SCE/WWS"
PS2,Sony,2005,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.0,29.0,8.0,121.0,EA Sports
PC,Microsoft,2010,Activision,2.57,1.68,0.0,0.58,4.84,93.0,82.0,8.2,3052.0,Blizzard Entertainment
PS3,Sony,2007,Ubisoft,1.91,2.0,0.09,0.82,4.82,81.0,40.0,7.3,769.0,Ubisoft Montreal
PS3,Sony,2010,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92.0,101.0,8.7,2633.0,SCE Santa Monica
PS,Sony,1999,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88.0,20.0,9.0,233.0,Naughty Dog
DS,Nintendo,2007,LucasArts,2.83,1.48,0.0,0.45,4.76,80.0,9.0,5.4,46.0,TT Fusion
PS,Sony,2000,Atari,2.36,2.1,0.02,0.25,4.73,62.0,14.0,7.7,92.0,Reflections Interactive
X360,Microsoft,2011,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,87.0,8.7,1472.0,Rocksteady Studios
PS,Sony,2000,Activision,3.05,1.41,0.02,0.2,4.68,98.0,19.0,7.7,299.0,Neversoft Entertainment
PS2,Sony,2002,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82.0,32.0,8.2,78.0,Stormfront Studios
PS,Sony,1996,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91.0,13.0,8.6,147.0,Core Design Ltd.
Wii,Nintendo,2008,Nintendo,1.82,1.12,1.32,0.36,4.62,73.0,50.0,7.6,119.0,Nintendo
PS4,Sony,2015,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86.0,78.0,8.1,1264.0,Bluepoint Games
GC,Nintendo,2002,Nintendo,2.6,0.99,0.89,0.13,4.6,96.0,80.0,8.9,968.0,Nintendo
Wii,Nintendo,2007,Activision,3.04,1.11,0.0,0.43,4.6,86.0,36.0,8.4,87.0,Vicarious Visions
3DS,Nintendo,2013,Nintendo,1.8,1.39,1.11,0.29,4.59,86.0,74.0,8.4,458.0,Next Level Games
X360,Microsoft,2011,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,91.0,83.0,8.2,617.0,Turn 10
PS2,Sony,2004,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91.0,30.0,7.9,78.0,EA Tiburon
X360,Microsoft,2007,Activision,3.19,0.91,0.01,0.42,4.53,85.0,69.0,7.9,165.0,Neversoft Entertainment
PS2,Sony,2006,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84.0,29.0,8.2,39.0,EA Sports
XOne,Microsoft,2015,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84.0,101.0,6.4,2438.0,343 Industries
PS2,Sony,2002,Activision,2.71,1.51,0.03,0.23,4.48,76.0,25.0,7.9,41.0,Treyarch
PS4,Sony,2016,Activision,1.61,2.0,0.15,0.71,4.46,77.0,82.0,3.4,1129.0,Infinity Ward
PS2,Sony,2005,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94.0,75.0,8.9,997.0,SCE Santa Monica
WiiU,Nintendo,2015,Nintendo,1.54,1.18,1.46,0.26,4.43,81.0,88.0,8.5,1184.0,Nintendo
WiiU,Nintendo,2012,Nintendo,2.52,1.11,0.46,0.33,4.42,77.0,61.0,7.9,471.0,Nintendo
PS2,Sony,2001,Activision,2.66,1.29,0.01,0.46,4.41,97.0,34.0,7.5,298.0,Neversoft Entertainment
PS2,Sony,2006,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,86.0,19.0,8.9,33.0,Konami
X360,Microsoft,2006,Take-Two Interactive,2.82,1.03,0.13,0.4,4.38,94.0,90.0,8.7,1109.0,Bethesda Softworks
PS2,Sony,2005,Electronic Arts,2.03,1.79,0.08,0.47,4.37,82.0,36.0,9.1,137.0,EA Canada
Wii,Nintendo,2010,Ubisoft,2.64,1.33,0.01,0.39,4.36,56.0,37.0,8.3,31.0,"Ubisoft Paris, Ubisoft Montpellier"
PS3,Sony,2006,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.34,86.0,70.0,8.1,715.0,Insomniac Games
PS2,Sony,2005,Square Enix,2.2,0.58,1.38,0.17,4.33,87.0,64.0,9.0,766.0,Square Enix
WiiU,Nintendo,2013,Nintendo,2.11,1.16,0.73,0.32,4.32,93.0,83.0,9.0,1607.0,Nintendo
X360,Microsoft,2008,Microsoft Game Studios,2.51,1.24,0.11,0.41,4.27,89.0,95.0,6.5,2423.0,Lionhead Studios
GBA,Nintendo,2001,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24,79.0,10.0,7.3,6.0,Mass Media
PS3,Sony,2009,Eidos Interactive,2.24,1.31,0.07,0.61,4.23,91.0,70.0,8.9,1122.0,Rocksteady Studios
PS2,Sony,2004,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23,91.0,68.0,9.3,955.0,KCEJ
PS3,Sony,2011,Ubisoft,1.41,2.01,0.1,0.7,4.22,80.0,39.0,7.5,613.0,Ubisoft Montreal
XOne,Microsoft,2015,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,88.0,39.0,6.2,1749.0,Bethesda Game Studios
X360,Microsoft,2013,Electronic Arts,0.92,2.89,0.01,0.4,4.22,84.0,41.0,4.2,435.0,EA Canada
PSP,Sony,2006,Sony Computer Entertainment,2.45,1.01,0.0,0.75,4.21,85.0,59.0,8.7,109.0,Ready at Dawn
PS2,Sony,2005,Electronic Arts,0.78,2.55,0.04,0.84,4.21,80.0,32.0,7.8,47.0,EA Canada
PS2,Sony,2003,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2,80.0,32.0,7.5,22.0,"SCEE, Zoe Mode"
PS3,Sony,2007,Sony Computer Entertainment,1.28,1.82,0.57,0.52,4.19,80.0,67.0,7.1,120.0,Polyphony Digital
X360,Microsoft,2011,Ubisoft,2.25,1.47,0.04,0.43,4.19,80.0,77.0,7.2,564.0,Ubisoft Montreal
PS3,Sony,2009,Capcom,2.03,1.04,0.58,0.52,4.16,94.0,61.0,7.3,330.0,Capcom
PS2,Sony,2002,Electronic Arts,3.36,0.21,0.01,0.56,4.14,95.0,25.0,7.7,65.0,EA Sports
PC,Microsoft,1997,Vivendi Games,4.03,0.0,0.09,0.0,4.12,96.0,24.0,9.1,3161.0,Valve Software
PC,Microsoft,2007,Activision,2.57,1.52,0.0,0.0,4.09,91.0,46.0,7.9,785.0,Blizzard Entertainment
PS4,Sony,2016,Electronic Arts,1.1,2.15,0.21,0.61,4.08,88.0,31.0,8.4,809.0,EA DICE
PS2,Sony,2007,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,93.0,70.0,8.9,709.0,SCE Santa Monica
X360,Microsoft,2010,Bethesda Softworks,2.66,1.03,0.04,0.33,4.05,84.0,81.0,8.1,769.0,Obsidian Entertainment
X360,Microsoft,2007,Microsoft Game Studios,2.35,1.27,0.03,0.41,4.05,90.0,66.0,8.3,381.0,Turn 10
Wii,Nintendo,2007,Take-Two Interactive,2.12,1.47,0.05,0.42,4.05,56.0,27.0,6.0,44.0,Cat Daddy Games
PS4,Sony,2014,Ubisoft,1.4,1.9,0.11,0.64,4.05,80.0,80.0,6.3,2996.0,Ubisoft Montreal
PS2,Sony,2000,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05,85.0,25.0,8.5,117.0,Namco
PS4,Sony,2014,Ubisoft,1.13,2.18,0.1,0.63,4.04,85.0,83.0,7.7,1653.0,Ubisoft Montreal
X360,Microsoft,2009,Electronic Arts,2.67,0.87,0.05,0.38,3.97,89.0,76.0,8.6,681.0,Valve Software
PS4,Sony,2015,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,92.0,79.0,9.2,10179.0,CD Projekt Red Studio
PS4,Sony,2014,Ubisoft,1.19,2.07,0.08,0.62,3.96,70.0,40.0,4.9,2050.0,"Ubisoft, Ubisoft Montreal"
PS4,Sony,2015,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95,87.0,89.0,7.6,2679.0,Rocksteady Studios
Wii,Nintendo,2011,Nintendo,2.03,1.16,0.37,0.38,3.95,93.0,81.0,8.0,1958.0,Nintendo
PS3,Sony,2008,Bethesda Softworks,2.15,1.13,0.07,0.59,3.94,90.0,57.0,8.0,910.0,Bethesda Game Studios
DS,Nintendo,2007,Nintendo,0.9,1.76,0.92,0.37,3.94,84.0,65.0,8.8,72.0,Level 5
Wii,Nintendo,2009,Electronic Arts,2.09,1.35,0.06,0.4,3.9,81.0,27.0,8.7,39.0,EA Canada
PS2,Sony,2003,Activision,2.29,1.17,0.01,0.42,3.9,90.0,38.0,8.7,121.0,Neversoft Entertainment
3DS,Nintendo,2014,Nintendo,0.68,0.48,2.62,0.11,3.89,86.0,80.0,8.7,348.0,Capcom
PC,Microsoft,2011,Bethesda Softworks,1.16,2.12,0.0,0.6,3.88,94.0,32.0,8.1,9073.0,Bethesda Game Studios
PS4,Sony,2015,Take-Two Interactive,2.49,0.66,0.03,0.69,3.88,87.0,51.0,6.7,364.0,Visual Concepts
