Platform,Manufactur,Year,Publisher,NA,EU,JP,Other,Global,Developer
PS2,Sony,2002,Konami Digital Entertainment,0.28,0.22,0.0,0.07,0.58,KCET
PS,Sony,1998,THQ,0.32,0.22,0.0,0.04,0.58,Other
SNES,Nintendo,1992,Namco Bandai Games,0.0,0.0,0.58,0.0,0.58,Other
DS,Nintendo,2009,Square Enix,0.22,0.1,0.23,0.03,0.58,Matrix Software
PS3,Sony,2013,Ubisoft,0.14,0.34,0.0,0.1,0.58,Ubisoft Montpellier
SNES,Nintendo,1996,Nintendo,0.0,0.0,0.58,0.0,0.58,Other
PSV,Sony,2012,Electronic Arts,0.16,0.32,0.02,0.08,0.58,Electronic Arts
PS,Sony,2000,Activision,0.32,0.22,0.0,0.04,0.58,Acquire
GC,Nintendo,2002,Activision,0.45,0.12,0.0,0.02,0.58,Neversoft Entertainment
Wii,Nintendo,2008,Take-Two Interactive,0.52,0.02,0.0,0.04,0.58,Other
PS2,Sony,2006,Namco Bandai Games,0.28,0.22,0.0,0.07,0.58,Cavia Inc.
PS2,Sony,2005,Electronic Arts,0.48,0.02,0.0,0.08,0.58,EA Canada
PS,Sony,1999,SquareSoft,0.32,0.22,0.0,0.04,0.58,SquareSoft
N64,Nintendo,1999,Midway Games,0.55,0.02,0.0,0.0,0.58,Other
Wii,Nintendo,2008,Electronic Arts,0.5,0.03,0.0,0.04,0.58,Electronic Arts
PS3,Sony,2014,Konami Digital Entertainment,0.1,0.2,0.22,0.06,0.58,Konami
X360,Microsoft,2012,Sega,0.07,0.44,0.0,0.07,0.58,Other
PS2,Sony,2009,Electronic Arts,0.28,0.22,0.0,0.07,0.58,EA Tiburon
Wii,Nintendo,2011,Disney Interactive Studios,0.35,0.18,0.0,0.05,0.57,High Impact Games
PS,Sony,1994,Electronic Arts,0.24,0.16,0.13,0.04,0.57,Other
XB,Microsoft,2005,Ubisoft,0.32,0.24,0.0,0.02,0.57,Ubisoft Montreal
PS2,Sony,2008,Electronic Arts,0.28,0.22,0.0,0.07,0.57,EA Bright Light
GBA,Nintendo,2002,Activision,0.41,0.15,0.0,0.01,0.57,Vicarious Visions
PSP,Sony,2005,SouthPeak Games,0.53,0.0,0.0,0.04,0.57,Climax Group
PS2,Sony,2005,Namco Bandai Games,0.0,0.0,0.57,0.0,0.57,Namco
X360,Microsoft,2013,505 Games,0.33,0.19,0.0,0.05,0.57,Overkill Software
PS,Sony,2000,Namco Bandai Games,0.0,0.0,0.54,0.04,0.57,Other
X360,Microsoft,2007,Midway Games,0.29,0.22,0.0,0.06,0.57,Midway Studios - Austin
GBA,Nintendo,2004,Vivendi Games,0.41,0.15,0.0,0.01,0.57,Vicarious Visions
PS3,Sony,2012,Take-Two Interactive,0.24,0.23,0.0,0.1,0.57,Firaxis Games
Wii,Nintendo,2007,Ubisoft,0.52,0.01,0.0,0.04,0.57,Ubisoft
PS,Sony,1995,Sony Computer Entertainment,0.11,0.08,0.35,0.04,0.57,Other
PS2,Sony,2008,Koch Media,0.22,0.02,0.0,0.33,0.57,Monkey Bar Games
3DS,Nintendo,2011,Activision,0.32,0.2,0.0,0.05,0.57,Vicarious Visions
Wii,Nintendo,2010,Activision,0.52,0.02,0.0,0.04,0.57,Activision
PC,Microsoft,2009,Electronic Arts,0.02,0.18,0.0,0.38,0.57,The Sims Studio
GC,Nintendo,2005,Electronic Arts,0.44,0.11,0.0,0.02,0.57,EA Sports
DS,Nintendo,2007,Capcom,0.24,0.0,0.31,0.02,0.57,Other
XOne,Microsoft,2016,Electronic Arts,0.37,0.15,0.0,0.05,0.57,Respawn Entertainment
PS3,Sony,2009,PQube,0.36,0.1,0.06,0.06,0.57,Arc System Works
Wii,Nintendo,2007,Activision,0.5,0.03,0.0,0.05,0.57,Other
X360,Microsoft,2008,Sega,0.27,0.24,0.0,0.06,0.57,Secret Level
PS2,Sony,2004,Namco Bandai Games,0.47,0.02,0.0,0.08,0.57,CyberConnect2
NES,Nintendo,1986,Nintendo,0.0,0.0,0.57,0.0,0.57,Other
N64,Nintendo,1997,GT Interactive,0.48,0.08,0.0,0.0,0.57,Other
PS3,Sony,2009,Electronic Arts,0.38,0.12,0.0,0.07,0.57,EA Canada
PS3,Sony,2010,505 Games,0.28,0.21,0.0,0.08,0.57,"Pipeworks Software, Inc."
PS3,Sony,2010,MTV Games,0.43,0.08,0.0,0.05,0.57,Harmonix Music Systems
XB,Microsoft,2001,Microsoft Game Studios,0.43,0.12,0.0,0.02,0.57,Stormfront Studios
PS2,Sony,2005,Tecmo Koei,0.11,0.08,0.35,0.03,0.57,Omega Force
Wii,Nintendo,2009,Activision,0.52,0.01,0.0,0.04,0.57,Activision
DS,Nintendo,2008,Rising Star Games,0.35,0.03,0.17,0.03,0.57,Other
XOne,Microsoft,2014,Take-Two Interactive,0.29,0.23,0.0,0.05,0.57,Yuke's
PS2,Sony,2002,Sony Computer Entertainment,0.28,0.22,0.0,0.07,0.57,Other
PS2,Sony,2006,Electronic Arts,0.47,0.02,0.0,0.08,0.57,EA Canada
XB,Microsoft,2002,Activision,0.42,0.11,0.02,0.02,0.57,Bunkasha Publishing
SNES,Nintendo,1992,Hudson Soft,0.0,0.0,0.57,0.0,0.57,Other
X360,Microsoft,2013,Trion Worlds,0.38,0.14,0.0,0.05,0.57,Trion Worlds
PS3,Sony,2011,Nippon Ichi Software,0.27,0.11,0.14,0.05,0.57,Nippon Ichi Software
DS,Nintendo,2008,THQ,0.52,0.0,0.0,0.04,0.57,Natsume
XB,Microsoft,2003,THQ,0.45,0.1,0.0,0.02,0.57,Heavy Iron Studios
PS3,Sony,2012,Bethesda Softworks,0.26,0.21,0.0,0.1,0.57,id Software
PS2,Sony,2002,Namco Bandai Games,0.0,0.0,0.57,0.0,0.57,Other
X360,Microsoft,2007,Activision,0.49,0.04,0.0,0.04,0.57,Treyarch
PSP,Sony,2011,Konami Digital Entertainment,0.1,0.11,0.29,0.06,0.57,Konami
Wii,Nintendo,2009,Sega,0.28,0.23,0.0,0.06,0.57,High Voltage Software
Wii,Nintendo,2009,Electronic Arts,0.2,0.3,0.0,0.07,0.57,EA Bright Light
WiiU,Nintendo,2015,Ubisoft,0.27,0.25,0.0,0.05,0.57,Ubisoft
X360,Microsoft,2011,Disney Interactive Studios,0.37,0.14,0.0,0.05,0.57,Eurocom Entertainment Software
XB,Microsoft,2002,Microsoft Game Studios,0.39,0.16,0.0,0.02,0.57,Digital Illusions
PS2,Sony,2004,Capcom,0.19,0.15,0.17,0.05,0.57,Capcom
PS3,Sony,2008,Take-Two Interactive,0.08,0.36,0.0,0.12,0.57,Pam Development
PS,Sony,2000,THQ,0.31,0.21,0.0,0.04,0.57,Other
PS2,Sony,2003,Ubisoft,0.28,0.22,0.0,0.07,0.57,Ubisoft Paris
PSP,Sony,2007,Eidos Interactive,0.21,0.22,0.0,0.13,0.57,Crystal Dynamics
DS,Nintendo,2007,THQ,0.29,0.22,0.0,0.06,0.57,THQ
3DS,Nintendo,2012,Xseed Games,0.32,0.0,0.21,0.03,0.57,Neverland
PS3,Sony,2009,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,Silicon Studio
Wii,Nintendo,2009,THQ,0.22,0.28,0.0,0.06,0.56,Asobo Studio
PS,Sony,2000,Capcom,0.11,0.08,0.34,0.04,0.56,Capcom
PS3,Sony,2015,Namco Bandai Games,0.05,0.07,0.42,0.02,0.56,"Namco Bandai Games, Bandai Namco Games"
GC,Nintendo,2003,Activision,0.44,0.11,0.0,0.02,0.56,Exakt
PS2,Sony,2007,Square Enix,0.23,0.18,0.09,0.06,0.56,Vanilla Ware
DS,Nintendo,2008,Ubisoft,0.52,0.0,0.0,0.04,0.56,Magic Pockets
GBA,Nintendo,2003,Universal Interactive,0.4,0.15,0.0,0.01,0.56,Other
GBA,Nintendo,2004,Zoo Digital Publishing,0.4,0.15,0.0,0.01,0.56,Full-Fat
3DS,Nintendo,2015,Nintendo,0.27,0.14,0.12,0.04,0.56,Other
PC,Microsoft,2014,Electronic Arts,0.22,0.3,0.0,0.04,0.56,Respawn Entertainment
PS2,Sony,2006,Electronic Arts,0.28,0.22,0.0,0.07,0.56,EA Tiburon
GBA,Nintendo,2003,Electronic Arts,0.4,0.15,0.0,0.01,0.56,Griptonite Games
PS2,Sony,2001,Midway Games,0.28,0.22,0.0,0.07,0.56,Black Box
Wii,Nintendo,2008,Vivendi Games,0.34,0.17,0.0,0.05,0.56,Etranges Libellules
GBA,Nintendo,2004,Nintendo,0.31,0.11,0.13,0.01,0.56,Nintendo
XB,Microsoft,2003,Electronic Arts,0.4,0.14,0.0,0.02,0.56,Maxis
PS2,Sony,2007,Electronic Arts,0.28,0.22,0.0,0.07,0.56,EA Canada
PS,Sony,2001,Sony Computer Entertainment,0.31,0.21,0.0,0.04,0.56,Artificial Mind and Movement
X360,Microsoft,2011,THQ,0.25,0.26,0.0,0.06,0.56,Relic
PS2,Sony,2006,Electronic Arts,0.28,0.21,0.0,0.07,0.56,Electronic Arts
X360,Microsoft,2008,Take-Two Interactive,0.09,0.4,0.0,0.07,0.56,Pam Development
GBA,Nintendo,2004,Konami Digital Entertainment,0.4,0.15,0.0,0.01,0.56,Other
PS2,Sony,2004,Activision,0.28,0.21,0.0,0.07,0.56,Sand Grain Studios
X360,Microsoft,2009,Warner Bros. Interactive Entertainment,0.4,0.11,0.0,0.05,0.56,TT Fusion
PS2,Sony,2001,Electronic Arts,0.28,0.21,0.0,0.07,0.56,Black Ops Entertainment
PS,Sony,1999,3DO,0.31,0.21,0.0,0.04,0.56,Other
PS2,Sony,2007,Ubisoft,0.28,0.21,0.0,0.07,0.56,Ubisoft
XB,Microsoft,2005,Electronic Arts,0.39,0.15,0.0,0.02,0.56,Digital Illusions
PS3,Sony,2009,Ubisoft,0.21,0.22,0.05,0.09,0.56,Ubisoft Romania
PS2,Sony,2001,Acclaim Entertainment,0.27,0.21,0.0,0.07,0.56,Acclaim Studios Austin
GBA,Nintendo,2002,Infogrames,0.4,0.15,0.0,0.01,0.56,Other
XOne,Microsoft,2015,Mojang,0.3,0.21,0.0,0.05,0.56,Other
Wii,Nintendo,2009,Majesco Entertainment,0.51,0.01,0.0,0.04,0.56,Collision Studios
GC,Nintendo,2005,Electronic Arts,0.43,0.11,0.0,0.02,0.56,EA Canada
PS,Sony,2000,Electronic Arts,0.31,0.21,0.0,0.04,0.56,Other
Wii,Nintendo,2008,Disney Interactive Studios,0.19,0.31,0.0,0.06,0.56,Avalanche Software
XB,Microsoft,2003,THQ,0.43,0.11,0.0,0.02,0.56,Anchor
N64,Nintendo,1999,Virgin Interactive,0.39,0.09,0.07,0.01,0.56,Other
SNES,Nintendo,1993,Laguna,0.09,0.02,0.45,0.0,0.56,Other
PS2,Sony,2007,Take-Two Interactive,0.27,0.21,0.0,0.07,0.56,Rockstar London
PS2,Sony,2003,Square Enix,0.15,0.12,0.26,0.04,0.56,Racjin
PSP,Sony,2006,Activision,0.41,0.07,0.0,0.07,0.56,Page 44 Studios
GB,Nintendo,2001,Nintendo,0.0,0.0,0.56,0.0,0.56,Other
PS2,Sony,2005,Electronic Arts,0.27,0.21,0.0,0.07,0.56,Eurocom Entertainment Software
DS,Nintendo,2006,Ubisoft,0.5,0.01,0.0,0.04,0.56,MTO
3DS,Nintendo,2016,Level 5,0.0,0.0,0.56,0.0,0.56,Other
X360,Microsoft,2007,Activision,0.49,0.02,0.0,0.04,0.56,Neversoft Entertainment
PS2,Sony,2003,Vivendi Games,0.27,0.21,0.0,0.07,0.56,Magenta Software
GBA,Nintendo,2002,Universal Interactive,0.4,0.15,0.0,0.01,0.56,Digital Illusions
X360,Microsoft,2009,Activision,0.28,0.22,0.0,0.06,0.56,"id Software, Raven Software"
GBA,Nintendo,2003,Konami Digital Entertainment,0.4,0.15,0.0,0.01,0.56,Other
XB,Microsoft,2002,Microsoft Game Studios,0.39,0.15,0.0,0.02,0.56,Artoon
PS2,Sony,2003,Sega,0.27,0.21,0.0,0.07,0.56,Visual Concepts
SNES,Nintendo,1994,Takara,0.0,0.0,0.56,0.0,0.56,Other
XB,Microsoft,2005,Take-Two Interactive,0.52,0.02,0.0,0.02,0.56,Kush Games
Wii,Nintendo,2010,Nintendo,0.33,0.16,0.02,0.05,0.56,"Tetris Online, Inc"
DS,Nintendo,2008,Nintendo,0.0,0.0,0.56,0.0,0.56,Other
PSV,Sony,2012,Sony Computer Entertainment,0.21,0.17,0.09,0.08,0.56,SCE Japan Studio
XOne,Microsoft,2016,Microsoft Game Studios,0.3,0.2,0.01,0.05,0.56,Remedy Entertainment
PSP,Sony,2005,Ignition Entertainment,0.17,0.24,0.0,0.14,0.56,Awesome Studios
X360,Microsoft,2007,Ubisoft,0.48,0.03,0.0,0.05,0.56,Ubisoft Montreal
PS3,Sony,2014,Warner Bros. Interactive Entertainment,0.2,0.26,0.01,0.09,0.56,Behaviour Interactive
PS2,Sony,2001,Codemasters,0.27,0.21,0.0,0.07,0.56,Pipe Dream Interactive
Wii,Nintendo,2014,Electronic Arts,0.15,0.37,0.0,0.04,0.56,EA Sports
PSP,Sony,2011,Square Enix,0.13,0.09,0.27,0.06,0.56,Bullets
X360,Microsoft,2008,THQ,0.34,0.15,0.01,0.05,0.56,Kaos Studios
PS2,Sony,2001,THQ,0.27,0.21,0.0,0.07,0.56,Pacific Coast Power & Light
XB,Microsoft,2006,Electronic Arts,0.42,0.12,0.0,0.01,0.56,EA Sports
PS,Sony,1998,Kadokawa Shoten,0.27,0.18,0.06,0.04,0.55,Game Arts
DS,Nintendo,2010,Natsume,0.25,0.05,0.22,0.03,0.55,Marvelous Entertainment
Wii,Nintendo,2007,Rising Star Games,0.29,0.17,0.04,0.05,0.55,Grasshopper Manufacture
PS,Sony,1999,Midway Games,0.31,0.21,0.0,0.04,0.55,Other
PS3,Sony,2011,Sony Computer Entertainment,0.39,0.08,0.02,0.06,0.55,Ready at Dawn
Wii,Nintendo,2008,Take-Two Interactive,0.49,0.02,0.0,0.04,0.55,High Voltage Software
PS2,Sony,2001,Eidos Interactive,0.27,0.21,0.0,0.07,0.55,Crystal Dynamics
PS2,Sony,2005,Konami Digital Entertainment,0.34,0.01,0.15,0.06,0.55,Aspect
XB,Microsoft,2006,Electronic Arts,0.42,0.11,0.0,0.02,0.55,Other
PS3,Sony,2010,Namco Bandai Games,0.24,0.22,0.01,0.09,0.55,Ninja Theory
SAT,Sega,1994,Sega,0.0,0.0,0.55,0.0,0.55,Other
XB,Microsoft,2002,THQ,0.4,0.13,0.0,0.02,0.55,Anchor
PS,Sony,1996,Banpresto,0.0,0.0,0.52,0.04,0.55,Other
DS,Nintendo,2005,Nintendo,0.0,0.0,0.55,0.0,0.55,Other
XOne,Microsoft,2015,Activision,0.3,0.2,0.0,0.05,0.55,FreeStyleGames
2600,Other,1982,Activision,0.52,0.03,0.0,0.01,0.55,Other
PS,Sony,2001,D3Publisher,0.31,0.21,0.0,0.04,0.55,Other
PS,Sony,1999,Eidos Interactive,0.31,0.21,0.0,0.04,0.55,Other
SAT,Sega,1996,Sega,0.0,0.0,0.55,0.0,0.55,Other
DS,Nintendo,2006,Ubisoft,0.49,0.02,0.0,0.04,0.55,Powerhead Games
PS2,Sony,2001,Sony Computer Entertainment,0.21,0.16,0.12,0.05,0.55,Deep Space
PS2,Sony,2001,Ubisoft,0.27,0.21,0.0,0.07,0.55,Ubisoft
PS3,Sony,2008,Sony Computer Entertainment,0.0,0.52,0.0,0.04,0.55,Other
PS2,Sony,2004,Enterbrain,0.0,0.0,0.55,0.0,0.55,Other
Wii,Nintendo,2006,Activision,0.51,0.0,0.0,0.04,0.55,Other
PSV,Sony,2011,Sony Computer Entertainment,0.15,0.11,0.25,0.05,0.55,Clap Hanz
XB,Microsoft,2002,Activision,0.34,0.18,0.0,0.02,0.55,Neversoft Entertainment
GBA,Nintendo,2002,Capcom,0.22,0.08,0.24,0.01,0.55,Inti
PS,Sony,2000,3DO,0.31,0.21,0.0,0.04,0.55,Bam Entertainment
PS4,Sony,2015,Capcom,0.13,0.24,0.1,0.07,0.55,Capcom
PS,Sony,1996,LucasArts,0.31,0.21,0.0,0.04,0.55,Other
PS3,Sony,2015,Warner Bros. Interactive Entertainment,0.17,0.3,0.0,0.09,0.55,Other
PS3,Sony,2007,Take-Two Interactive,0.5,0.01,0.0,0.05,0.55,Visual Concepts
Wii,Nintendo,2011,Ubisoft,0.21,0.27,0.0,0.06,0.55,UBlart Montpellier
PS4,Sony,2014,Activision,0.2,0.25,0.02,0.09,0.55,Other
PS,Sony,1999,Namco Bandai Games,0.0,0.0,0.51,0.04,0.55,Other
PC,Microsoft,2014,Ubisoft,0.18,0.33,0.0,0.04,0.55,"Ubisoft, Ubisoft Montreal"
X360,Microsoft,2011,THQ,0.37,0.13,0.0,0.04,0.55,THQ Digital Studio Phoenix
SAT,Sega,1997,Banpresto,0.0,0.0,0.55,0.0,0.55,Other
XB,Microsoft,2004,Activision,0.4,0.13,0.0,0.02,0.55,"Luxoflux, Inc."
DS,Nintendo,2007,THQ,0.18,0.35,0.0,0.02,0.55,Brain Toys
PC,Microsoft,2010,Ubisoft,0.01,0.45,0.0,0.09,0.55,Ubisoft Montreal
PS2,Sony,2002,Sega,0.0,0.0,0.55,0.0,0.55,Other
PSP,Sony,2008,Sony Computer Entertainment,0.33,0.22,0.0,0.0,0.55,Other
GBA,Nintendo,2001,THQ,0.39,0.15,0.0,0.01,0.55,Other
SAT,Sega,1998,Banpresto,0.0,0.0,0.55,0.0,0.55,Other
GBA,Nintendo,2003,THQ,0.39,0.15,0.0,0.01,0.55,Avalanche Software
Wii,Nintendo,2008,Activision,0.31,0.18,0.0,0.05,0.55,Other
X360,Microsoft,2009,Microsoft Game Studios,0.15,0.34,0.0,0.06,0.55,iNiS
PS,Sony,1995,Sony Computer Entertainment,0.29,0.2,0.02,0.04,0.55,Other
PC,Microsoft,2015,Electronic Arts,0.13,0.38,0.0,0.04,0.55,Other
XB,Microsoft,2002,Acclaim Entertainment,0.39,0.14,0.0,0.02,0.55,Acclaim
Wii,Nintendo,2010,505 Games,0.26,0.24,0.0,0.05,0.55,Other
PS2,Sony,2005,Sony Computer Entertainment,0.45,0.02,0.0,0.07,0.55,Naughty Dog
DS,Nintendo,2007,Nintendo,0.25,0.03,0.24,0.03,0.55,Other
PS2,Sony,2003,Codemasters,0.27,0.21,0.0,0.07,0.55,Hothouse Creations
PS,Sony,1996,Microprose,0.3,0.21,0.0,0.04,0.55,Other
DS,Nintendo,2008,Activision,0.5,0.0,0.0,0.04,0.55,Activision
XB,Microsoft,2004,Take-Two Interactive,0.4,0.12,0.0,0.02,0.55,Rockstar San Diego
DS,Nintendo,2008,Deep Silver,0.5,0.0,0.0,0.04,0.55,Nuevo Retro Games
DS,Nintendo,2008,THQ,0.26,0.23,0.0,0.06,0.55,Rare Ltd.
DS,Nintendo,2008,Ubisoft,0.47,0.03,0.0,0.04,0.54,Digital Kids
DS,Nintendo,2010,Activision,0.4,0.1,0.0,0.04,0.54,Activision
PS3,Sony,2013,Sony Computer Entertainment Europe,0.35,0.12,0.0,0.08,0.54,Sanzaru Games
PS2,Sony,2008,Sega,0.36,0.0,0.0,0.19,0.54,Artificial Mind and Movement
PS2,Sony,2008,Sony Computer Entertainment,0.0,0.06,0.0,0.48,0.54,Other
PS3,Sony,2012,Take-Two Interactive,0.19,0.23,0.04,0.08,0.54,Yager
XB,Microsoft,2004,THQ,0.4,0.12,0.0,0.02,0.54,Heavy Iron Studios
PS3,Sony,2013,Electronic Arts,0.28,0.17,0.0,0.09,0.54,Electronic Arts
PS3,Sony,2013,Codemasters,0.01,0.42,0.03,0.09,0.54,Codemasters Birmingham
XB,Microsoft,2006,Electronic Arts,0.16,0.35,0.0,0.04,0.54,Other
PS2,Sony,2000,SquareSoft,0.0,0.0,0.54,0.0,0.54,Other
PS3,Sony,2009,THQ,0.3,0.16,0.0,0.07,0.54,Yuke's
Wii,Nintendo,2008,THQ,0.5,0.0,0.0,0.04,0.54,THQ
X360,Microsoft,2007,Electronic Arts,0.49,0.02,0.0,0.04,0.54,EA Salt Lake
GB,Nintendo,1999,Imagineer,0.0,0.0,0.54,0.0,0.54,Other
XB,Microsoft,2003,Konami Digital Entertainment,0.42,0.11,0.0,0.02,0.54,Konami Computer Entertainment Hawaii
PS2,Sony,2005,Vivendi Games,0.27,0.21,0.0,0.07,0.54,Radical Entertainment
PS2,Sony,2003,Square Enix,0.14,0.11,0.25,0.04,0.54,Square Enix
GBA,Nintendo,2003,THQ,0.39,0.14,0.0,0.01,0.54,Other
PSV,Sony,2012,Ubisoft,0.12,0.33,0.0,0.09,0.54,UBlart Montpellier
DS,Nintendo,2010,Level 5,0.0,0.0,0.54,0.0,0.54,Other
PS3,Sony,2007,Vivendi Games,0.18,0.26,0.0,0.1,0.54,Day 1 Studios
X360,Microsoft,2010,Namco Bandai Games,0.3,0.19,0.0,0.05,0.54,Ninja Theory
PS2,Sony,2004,Namco Bandai Games,0.26,0.21,0.0,0.07,0.54,Other
PSP,Sony,2006,Atari,0.26,0.08,0.13,0.07,0.54,Dimps Corporation
PS3,Sony,2012,Electronic Arts,0.24,0.21,0.0,0.08,0.54,Electronic Arts
PS3,Sony,2010,Tecmo Koei,0.11,0.04,0.36,0.02,0.54,"Omega Force, Koei Tecmo Games"
2600,Other,1982,CPG Products,0.5,0.03,0.0,0.01,0.54,Other
N64,Nintendo,1998,Electronic Arts,0.11,0.39,0.0,0.03,0.54,Other
N64,Nintendo,1999,Midway Games,0.43,0.1,0.0,0.01,0.54,Other
PS3,Sony,2011,Namco Bandai Games,0.0,0.0,0.54,0.0,0.54,Other
Wii,Nintendo,2008,System 3 Arcade Software,0.07,0.4,0.0,0.07,0.54,Other
Wii,Nintendo,2010,Activision,0.39,0.11,0.0,0.04,0.54,Robomodo
Wii,Nintendo,2010,Electronic Arts,0.23,0.25,0.0,0.06,0.54,EA Sports
PS3,Sony,2009,Electronic Arts,0.46,0.02,0.01,0.05,0.54,EA Canada
X360,Microsoft,2010,THQ,0.22,0.23,0.03,0.05,0.54,4A Games
PS,Sony,1998,Sony Computer Entertainment,0.09,0.06,0.35,0.04,0.54,Other
GC,Nintendo,2005,Nintendo,0.29,0.08,0.16,0.01,0.54,Intelligent Systems
PS2,Sony,2002,Enix Corporation,0.0,0.0,0.54,0.0,0.54,Other
DS,Nintendo,2007,Nintendo,0.26,0.04,0.22,0.03,0.54,Cing
3DS,Nintendo,2014,Square Enix,0.16,0.07,0.28,0.02,0.54,Racjin
PS,Sony,1999,Aruze Corp,0.0,0.0,0.5,0.04,0.54,Other
GBA,Nintendo,2004,THQ,0.39,0.14,0.0,0.01,0.54,Altron
GC,Nintendo,2001,Electronic Arts,0.42,0.11,0.0,0.01,0.54,EA Sports Big
XB,Microsoft,2004,Activision,0.46,0.06,0.0,0.02,0.54,WXP
PS2,Sony,2004,Konami Digital Entertainment,0.0,0.0,0.54,0.0,0.54,Other
PS2,Sony,2003,Sega,0.26,0.21,0.0,0.07,0.54,Visual Concepts
X360,Microsoft,2011,Namco Bandai Games,0.39,0.1,0.01,0.04,0.54,Spike
X360,Microsoft,2009,Deep Silver,0.29,0.16,0.04,0.05,0.54,"Ascaron Entertainment GmbH, Ascaron Entertainment"
X360,Microsoft,2011,Unknown,0.4,0.07,0.03,0.03,0.54,Reality Pump
PS2,Sony,2006,Activision,0.45,0.02,0.0,0.07,0.54,Edge of Reality
PS,Sony,2001,Activision,0.3,0.2,0.0,0.04,0.54,Shaba Games
DS,Nintendo,2011,Disney Interactive Studios,0.31,0.18,0.0,0.05,0.54,Altron
DS,Nintendo,2009,Destineer,0.5,0.0,0.0,0.04,0.54,Cerasus Media
DS,Nintendo,2008,Ubisoft,0.24,0.23,0.0,0.06,0.54,Other
X360,Microsoft,2013,Electronic Arts,0.4,0.09,0.0,0.05,0.54,Electronic Arts
2600,Other,1982,Parker Bros.,0.5,0.03,0.0,0.01,0.54,Other
DS,Nintendo,2009,Ubisoft,0.5,0.0,0.0,0.04,0.54,Digital Kids
PS2,Sony,2003,Vivendi Games,0.26,0.2,0.0,0.07,0.54,Inevitable Entertainment
PS2,Sony,2003,Sony Computer Entertainment,0.26,0.2,0.0,0.07,0.54,Incognito Inc.
Wii,Nintendo,2010,Electronic Arts,0.22,0.27,0.0,0.05,0.54,Electronic Arts
PS2,Sony,2005,Vivendi Games,0.26,0.2,0.0,0.07,0.54,Radical Entertainment
PS3,Sony,2010,Namco Bandai Games,0.18,0.2,0.07,0.08,0.54,Nex Entertainment
Wii,Nintendo,2008,Ubisoft,0.48,0.01,0.0,0.04,0.53,Destineer
SAT,Sega,1998,Sega,0.0,0.0,0.53,0.0,0.53,Other
PS2,Sony,2001,Namco Bandai Games,0.26,0.2,0.0,0.07,0.53,Namco
3DS,Nintendo,2011,Nintendo,0.0,0.05,0.48,0.0,0.53,Other
PS,Sony,1996,ASCII Entertainment,0.07,0.05,0.38,0.03,0.53,Other
PS2,Sony,2005,Electronic Arts,0.45,0.02,0.0,0.07,0.53,EA Canada
WiiU,Nintendo,2015,Warner Bros. Interactive Entertainment,0.3,0.18,0.0,0.05,0.53,Traveller's Tales
PSP,Sony,2010,Sega,0.12,0.15,0.18,0.09,0.53,Sega
PS2,Sony,2004,Sony Computer Entertainment,0.26,0.2,0.0,0.07,0.53,Other
Wii,Nintendo,2011,THQ,0.42,0.07,0.0,0.04,0.53,THQ
Wii,Nintendo,2010,Capcom,0.3,0.15,0.03,0.05,0.53,Eighting
DS,Nintendo,2006,Rising Star Games,0.35,0.01,0.14,0.03,0.53,Neverland
PS2,Sony,2003,Eidos Interactive,0.26,0.2,0.0,0.07,0.53,Crystal Dynamics
PS2,Sony,2004,Electronic Arts,0.44,0.02,0.0,0.07,0.53,EA Canada
PS,Sony,2000,Electronic Arts,0.3,0.2,0.0,0.03,0.53,Eutechnyx
PSP,Sony,2010,Square Enix,0.15,0.07,0.27,0.05,0.53,Square Enix
PS2,Sony,2004,SCi,0.26,0.2,0.0,0.07,0.53,Pivotal Games
PS3,Sony,2013,Nippon Ichi Software,0.25,0.07,0.17,0.05,0.53,Vanillaware
XB,Microsoft,2004,Sega,0.4,0.11,0.0,0.02,0.53,Other
PS2,Sony,2003,Midway Games,0.26,0.2,0.0,0.07,0.53,Midway
PS,Sony,1999,Eidos Interactive,0.3,0.2,0.0,0.03,0.53,Other
PS2,Sony,2008,Electronic Arts,0.26,0.2,0.0,0.07,0.53,EA Tiburon
XB,Microsoft,2004,Midway Games,0.4,0.11,0.0,0.02,0.53,Midway
Wii,Nintendo,2007,Take-Two Interactive,0.25,0.23,0.0,0.06,0.53,Rockstar Toronto
XOne,Microsoft,2014,Ubisoft,0.35,0.13,0.0,0.05,0.53,Ubisoft
PS,Sony,1996,Sony Computer Entertainment,0.3,0.2,0.0,0.03,0.53,Other
XOne,Microsoft,2014,Warner Bros. Interactive Entertainment,0.35,0.13,0.0,0.05,0.53,TT Games
SNES,Nintendo,1993,Hudson Soft,0.0,0.0,0.53,0.0,0.53,Other
PC,Microsoft,2016,Activision,0.25,0.24,0.0,0.04,0.53,Blizzard Entertainment
SNES,Nintendo,1994,Tecmo Koei,0.0,0.0,0.53,0.0,0.53,Other
Wii,Nintendo,2010,Activision,0.48,0.02,0.0,0.03,0.53,Virtuos
SNES,Nintendo,1993,Tecmo Koei,0.0,0.0,0.53,0.0,0.53,Other
XB,Microsoft,2005,Ubisoft,0.34,0.17,0.0,0.02,0.53,Ubisoft Montpellier
XB,Microsoft,2005,Electronic Arts,0.32,0.19,0.0,0.01,0.53,Criterion Games
XB,Microsoft,2005,Electronic Arts,0.32,0.19,0.0,0.02,0.53,EA LA
