Platform,Manufactur,Year,Publisher,NA,EU,JP,Other,Global,Developer
X360,Microsoft,2011,Black Bean Games,0.08,0.05,0.0,0.01,0.13,Virtual Air Guitar Company
PC,Microsoft,2012,SCS Software,0.0,0.12,0.0,0.02,0.13,SCS Software
DS,Nintendo,2010,Activision,0.12,0.0,0.0,0.01,0.13,Other
3DS,Nintendo,2015,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,Other
XB,Microsoft,2006,Eidos Interactive,0.1,0.03,0.0,0.0,0.13,Crystal Dynamics
PS,Sony,1997,Konami Digital Entertainment,0.07,0.05,0.0,0.01,0.13,Other
DS,Nintendo,2010,Scholastic Inc.,0.12,0.0,0.0,0.01,0.13,"Big Blue Bubble Inc., Scholastic, Inc."
DS,Nintendo,2008,SouthPeak Games,0.12,0.0,0.0,0.01,0.13,"Venan Entertainment, Cashmere Prod."
PC,Microsoft,2002,Vivendi Games,0.03,0.09,0.0,0.02,0.13,Blizzard Entertainment
PS2,Sony,2001,Tecmo Koei,0.0,0.0,0.13,0.0,0.13,Other
GC,Nintendo,2002,Konami Digital Entertainment,0.1,0.03,0.0,0.0,0.13,Konami
PSP,Sony,2005,Electronic Arts,0.11,0.01,0.0,0.01,0.13,Other
PS2,Sony,2002,Enterbrain,0.06,0.05,0.0,0.02,0.13,Kuusou Kagaku
3DS,Nintendo,2011,Crave Entertainment,0.12,0.0,0.0,0.01,0.13,Other
PS3,Sony,2008,Atari,0.09,0.03,0.0,0.02,0.13,Eden Studios
PSP,Sony,2010,Disney Interactive Studios,0.1,0.02,0.0,0.02,0.13,SuperVillain Studios
PS4,Sony,2015,Sony Computer Entertainment,0.02,0.05,0.04,0.01,0.13,Bluepoint Games
PS2,Sony,2004,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13,Studio 33
PSV,Sony,2014,Sega,0.04,0.0,0.08,0.01,0.13,Sega
Wii,Nintendo,2008,Konami Digital Entertainment,0.11,0.0,0.01,0.01,0.13,Konami
DS,Nintendo,2009,Electronic Arts,0.12,0.0,0.0,0.01,0.13,Electronic Arts
PS,Sony,1998,Eidos Interactive,0.07,0.05,0.0,0.01,0.13,Other
